#Turn	Emit_x
263	3.845903e-06
264	4.795506e-06
265	4.946362e-06
266	4.116828e-06
267	4.048237e-06
268	5.067788e-06
269	4.630702e-06
270	3.885546e-06
271	4.453683e-06
272	5.127392e-06
273	4.345711e-06
274	3.870543e-06
275	4.860611e-06
276	4.859243e-06
277	4.034714e-06
278	4.184039e-06
279	5.121516e-06
280	4.499851e-06
281	3.846250e-06
282	4.672871e-06
283	5.004626e-06
284	4.157698e-06
285	4.048316e-06
286	5.058838e-06
287	4.584382e-06
288	3.867605e-06
289	4.577587e-06
290	5.049934e-06
291	4.201211e-06
292	4.024765e-06
293	5.036596e-06
294	4.583938e-06
295	3.870437e-06
296	4.601153e-06
297	5.015968e-06
298	4.156364e-06
299	4.103709e-06
300	5.077794e-06
301	4.491435e-06
302	3.864916e-06
303	4.736078e-06
304	4.870615e-06
305	4.027205e-06
306	4.314551e-06
307	5.114786e-06
308	4.322390e-06
309	3.963523e-06
310	4.952577e-06
311	4.594208e-06
312	3.884567e-06
313	4.633672e-06
314	4.926304e-06
315	4.068946e-06
316	4.308670e-06
317	5.105534e-06
318	4.299960e-06
319	4.022075e-06
320	4.990791e-06
321	4.493562e-06
322	3.887163e-06
323	4.752251e-06
324	4.733064e-06
325	3.951103e-06
326	4.530279e-06
327	4.981674e-06
328	4.121039e-06
329	4.322446e-06
330	5.095083e-06
331	4.275112e-06
332	4.120445e-06
333	5.034415e-06
334	4.382783e-06
335	3.963552e-06
336	4.879598e-06
337	4.488625e-06
338	3.895704e-06
339	4.724605e-06
340	4.630105e-06
341	3.923892e-06
342	4.611990e-06
343	4.796144e-06
344	4.015767e-06
345	4.536825e-06
346	4.948003e-06
347	4.126098e-06
348	4.477913e-06
349	5.054264e-06
350	4.220851e-06
351	4.419016e-06
352	5.104446e-06
353	4.284383e-06
354	4.353913e-06
355	5.104493e-06
356	4.315044e-06
357	4.283391e-06
358	5.067696e-06
359	4.318068e-06
360	4.211042e-06
361	5.007951e-06
362	4.300328e-06
363	4.140473e-06
364	4.936464e-06
365	4.267710e-06
366	4.074134e-06
367	4.860901e-06
368	4.224376e-06
369	4.013222e-06
370	4.785779e-06
371	4.172980e-06
372	3.958072e-06
373	4.713327e-06
374	4.115247e-06
375	3.908684e-06
376	4.644375e-06
377	4.052582e-06
378	3.865221e-06
379	4.579124e-06
380	3.986605e-06
381	3.828405e-06
382	4.517762e-06
383	3.919576e-06
384	3.799804e-06
385	4.460900e-06
386	3.854660e-06
387	3.781950e-06
388	4.409813e-06
389	3.795998e-06
390	3.778249e-06
391	4.366436e-06
392	3.748490e-06
393	3.792570e-06
394	4.333038e-06
395	3.717200e-06
396	3.828459e-06
397	4.311545e-06
398	3.706360e-06
399	3.887981e-06
400	4.302555e-06
401	3.718056e-06
402	3.970341e-06
403	4.304248e-06
404	3.750885e-06
405	4.070657e-06
406	4.311567e-06
407	3.799087e-06
