#Turn	Emit_x
920	5.300888e-06
921	5.333910e-06
922	4.873366e-06
923	5.316016e-06
924	5.230566e-06
925	4.862673e-06
926	5.367871e-06
927	5.176244e-06
928	4.904034e-06
929	5.454901e-06
930	5.171612e-06
931	4.990154e-06
932	5.559840e-06
933	5.201180e-06
934	5.099573e-06
935	5.652893e-06
936	5.237772e-06
937	5.202890e-06
938	5.701175e-06
939	5.252498e-06
940	5.273517e-06
941	5.681762e-06
942	5.226970e-06
943	5.299049e-06
944	5.592971e-06
945	5.162409e-06
946	5.287728e-06
947	5.457958e-06
948	5.080593e-06
949	5.265725e-06
950	5.317495e-06
951	5.015080e-06
952	5.265167e-06
953	5.213992e-06
954	4.995940e-06
955	5.307801e-06
956	5.173613e-06
957	5.034956e-06
958	5.392105e-06
959	5.194897e-06
960	5.118655e-06
961	5.490914e-06
962	5.249719e-06
963	5.213407e-06
964	5.562288e-06
965	5.296986e-06
966	5.281221e-06
967	5.569757e-06
968	5.303234e-06
969	5.299072e-06
970	5.502183e-06
971	5.259924e-06
972	5.271544e-06
973	5.382149e-06
974	5.187823e-06
975	5.228886e-06
976	5.257055e-06
977	5.125453e-06
978	5.210376e-06
979	5.176569e-06
980	5.107522e-06
981	5.241612e-06
982	5.168167e-06
983	5.145189e-06
984	5.318373e-06
985	5.223907e-06
986	5.219154e-06
987	5.406651e-06
988	5.305519e-06
989	5.289760e-06
990	5.460021e-06
991	5.365326e-06
992	5.319041e-06
993	5.445638e-06
994	5.371951e-06
995	5.292660e-06
996	5.364334e-06
997	5.326597e-06
998	5.228830e-06
999	5.252565e-06
